id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,xG,xGA,xGD,xGD/90
269,R16,Roma 2018-2019,8.0,4.0,0.0,4.0,14.0,12.0,2.0,12.0,49.525000000000006,15.0,14.0,1.0,0.12
270,R16,Schalke 04 2018-2019,8.0,3.0,2.0,3.0,8.0,14.0,-6.0,11.0,50.949,10.5,11.9,-1.4,-0.17
271,R16,Lyon 2018-2019,8.0,1.0,6.0,1.0,13.0,16.0,-3.0,9.0,41.94500000000001,12.3,17.2,-5.0,-0.62
272,GR,Napoli 2018-2019,6.0,2.0,3.0,1.0,7.0,5.0,2.0,9.0,45.672,10.9,6.5,4.4,0.73
273,GR,Valencia 2018-2019,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,39.697,6.9,11.1,-4.2,-0.7
274,GR,Inter 2018-2019,6.0,2.0,2.0,2.0,6.0,7.0,-1.0,8.0,65.857,8.6,7.8,0.8,0.13
275,GR,CSKA Moscow 2018-2019,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,63.052,6.9,11.6,-4.8,-0.79
276,GR,Benfica 2018-2019,6.0,2.0,1.0,3.0,6.0,11.0,-5.0,7.0,48.412000000000006,6.2,10.7,-4.5,-0.75
277,GR,Viktoria Plzeň 2018-2019,6.0,2.0,1.0,3.0,7.0,16.0,-9.0,7.0,11.337000000000002,7.8,12.3,-4.5,-0.75
278,GR,Club Brugge 2018-2019,6.0,1.0,3.0,2.0,6.0,5.0,1.0,6.0,24.928,5.4,6.3,-0.9,-0.15
279,GR,Shakhtar 2018-2019,6.0,1.0,3.0,2.0,8.0,16.0,-8.0,6.0,34.786,6.9,13.2,-6.3,-1.04
280,GR,Galatasaray 2018-2019,6.0,1.0,1.0,4.0,5.0,8.0,-3.0,4.0,41.394000000000005,9.9,9.6,0.2,0.04
281,GR,Young Boys 2018-2019,6.0,1.0,1.0,4.0,4.0,12.0,-8.0,4.0,30.785,6.5,11.5,-5.0,-0.83
282,GR,Red Star 2018-2019,6.0,1.0,1.0,4.0,5.0,17.0,-12.0,4.0,49.59599999999989,2.9,19.4,-16.6,-2.76
283,GR,Hoffenheim 2018-2019,6.0,0.0,3.0,3.0,11.0,14.0,-3.0,3.0,23.972,11.1,12.3,-1.2,-0.21
284,GR,Loko Moscow 2018-2019,6.0,1.0,0.0,5.0,4.0,12.0,-8.0,3.0,17.180999999999994,6.6,9.2,-2.5,-0.42
285,GR,PSV Eindhoven 2018-2019,6.0,0.0,2.0,4.0,6.0,13.0,-7.0,2.0,34.783,7.1,13.9,-6.8,-1.13
286,GR,Monaco 2018-2019,6.0,0.0,1.0,5.0,2.0,14.0,-12.0,1.0,9.218,5.1,11.0,-5.9,-0.99
287,GR,AEK Athens 2018-2019,6.0,0.0,0.0,6.0,2.0,13.0,-11.0,0.0,39.377,4.7,11.9,-7.2,-1.2
288,W,Bayern Munich 2019-2020,11.0,11.0,0.0,0.0,43.0,8.0,35.0,33.0,50.0,35.5,10.2,25.3,2.3
289,F,Paris S-G 2019-2020,11.0,8.0,1.0,2.0,25.0,6.0,19.0,25.0,28.058,26.2,12.3,13.9,1.27
290,SF,RB Leipzig 2019-2020,10.0,6.0,2.0,2.0,16.0,12.0,4.0,20.0,32.347,18.0,13.0,5.0,0.5
291,SF,Lyon 2019-2020,10.0,4.0,2.0,4.0,14.0,14.0,0.0,14.0,41.78,12.7,18.4,-5.7,-0.57
292,QF,Manchester City 2019-2020,9.0,6.0,2.0,1.0,21.0,9.0,12.0,20.0,37.594,25.1,7.9,17.2,1.91
293,QF,Barcelona 2019-2020,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,60.80899999999989,14.4,17.9,-3.5,-0.39
294,QF,Atlético Madrid 2019-2020,9.0,5.0,1.0,3.0,13.0,9.0,4.0,16.0,62.23199999999999,15.3,9.1,6.1,0.68
295,QF,Atalanta 2019-2020,9.0,4.0,1.0,4.0,17.0,18.0,-1.0,13.0,32.77,17.7,18.9,-1.2,-0.14
296,R16,Juventus 2019-2020,8.0,6.0,1.0,1.0,14.0,6.0,8.0,19.0,28.39,12.0,10.9,1.2,0.15
297,R16,Napoli 2019-2020,8.0,3.0,4.0,1.0,13.0,8.0,5.0,13.0,34.598000000000006,14.9,11.0,3.9,0.48
298,R16,Liverpool 2019-2020,8.0,4.0,1.0,3.0,15.0,12.0,3.0,13.0,52.31200000000001,16.2,8.8,7.4,0.92
299,R16,Dortmund 2019-2020,8.0,4.0,1.0,3.0,10.0,11.0,-1.0,13.0,65.84400000000001,14.4,13.1,1.4,0.17
300,R16,Real Madrid 2019-2020,8.0,3.0,2.0,3.0,16.0,12.0,4.0,11.0,70.43800000000002,16.6,13.7,2.8,0.36
301,R16,Valencia 2019-2020,8.0,3.0,2.0,3.0,13.0,15.0,-2.0,11.0,31.599,14.7,15.7,-1.0,-0.13
302,R16,Chelsea 2019-2020,8.0,3.0,2.0,3.0,12.0,16.0,-4.0,11.0,38.845,17.5,12.7,4.7,0.59
303,R16,Tottenham 2019-2020,8.0,3.0,1.0,4.0,18.0,18.0,0.0,10.0,57.247,14.5,11.2,3.3,0.42
304,GR,Ajax 2019-2020,6.0,3.0,1.0,2.0,12.0,6.0,6.0,10.0,51.951,7.5,13.8,-6.3,-1.05
305,GR,RB Salzburg 2019-2020,6.0,2.0,1.0,3.0,16.0,13.0,3.0,7.0,29.52,13.7,11.9,1.8,0.3
306,GR,Inter 2019-2020,6.0,2.0,1.0,3.0,10.0,9.0,1.0,7.0,62.53999999999999,10.0,10.3,-0.3,-0.05
307,GR,Benfica 2019-2020,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,46.57600000000001,8.1,9.4,-1.3,-0.22
308,GR,Zenit 2019-2020,6.0,2.0,1.0,3.0,7.0,9.0,-2.0,7.0,51.106,6.1,9.5,-3.3,-0.55
309,GR,Leverkusen 2019-2020,6.0,2.0,0.0,4.0,5.0,9.0,-4.0,6.0,28.0979999999999,6.7,6.8,0.0,-0.01
310,GR,Shakhtar 2019-2020,6.0,1.0,3.0,2.0,8.0,13.0,-5.0,6.0,28.246,8.3,13.1,-4.8,-0.81
311,GR,Dinamo Zagreb 2019-2020,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,28.855,7.5,16.3,-8.8,-1.46
312,GR,Olympiacos 2019-2020,6.0,1.0,1.0,4.0,8.0,14.0,-6.0,4.0,31.523000000000003,7.9,12.1,-4.3,-0.71
313,GR,Loko Moscow 2019-2020,6.0,1.0,0.0,5.0,4.0,11.0,-7.0,3.0,26.556999999999903,6.0,13.1,-7.0,-1.17
314,GR,Club Brugge 2019-2020,6.0,0.0,3.0,3.0,4.0,12.0,-8.0,3.0,26.957,7.4,10.4,-3.0,-0.51
315,GR,Red Star 2019-2020,6.0,1.0,0.0,5.0,3.0,20.0,-17.0,3.0,43.2629999999999,4.0,19.8,-15.8,-2.64
316,GR,Slavia Prague 2019-2020,6.0,0.0,2.0,4.0,4.0,10.0,-6.0,2.0,19.303,9.4,12.2,-2.8,-0.46
317,GR,Galatasaray 2019-2020,6.0,0.0,2.0,4.0,1.0,14.0,-13.0,2.0,43.306,4.2,16.4,-12.2,-2.03
318,GR,Lille 2019-2020,6.0,0.0,1.0,5.0,4.0,14.0,-10.0,1.0,48.208,8.8,10.1,-1.3,-0.22
319,GR,Genk 2019-2020,6.0,0.0,1.0,5.0,5.0,20.0,-15.0,1.0,18.957,6.9,18.2,-11.3,-1.88
320,W,Chelsea 2020-2021,13.0,9.0,3.0,1.0,23.0,4.0,19.0,30.0,0.333,26.0,9.0,17.0,1.31
321,F,Manchester City 2020-2021,13.0,11.0,1.0,1.0,25.0,5.0,20.0,34.0,2.015999999999999,22.5,7.2,15.3,1.18
322,QF,Porto 2020-2021,10.0,6.0,1.0,3.0,15.0,9.0,6.0,19.0,0.489999999999999,12.5,15.1,-2.6,-0.26
323,R16,RB Leipzig 2020-2021,8.0,4.0,0.0,4.0,11.0,16.0,-5.0,12.0,0.249999999999999,10.6,12.8,-2.2,-0.27
324,R16,Lazio 2020-2021,8.0,2.0,4.0,2.0,13.0,13.0,0.0,10.0,0.249999999999999,13.1,11.6,1.5,0.19
325,GR,Manchester Utd 2020-2021,6.0,3.0,0.0,3.0,15.0,10.0,5.0,9.0,0.374,11.5,8.4,3.1,0.51
326,GR,Shakhtar 2020-2021,6.0,2.0,2.0,2.0,5.0,12.0,-7.0,8.0,3.3929999999999,4.7,11.0,-6.3,-1.05
327,GR,Inter 2020-2021,6.0,1.0,3.0,2.0,7.0,9.0,-2.0,6.0,0.333,8.3,6.5,1.8,0.3
328,GR,Krasnodar 2020-2021,6.0,1.0,2.0,3.0,6.0,11.0,-5.0,5.0,9.948,6.4,11.9,-5.5,-0.92
329,GR,RB Salzburg 2020-2021,6.0,1.0,1.0,4.0,10.0,17.0,-7.0,4.0,0.9999999999999988,11.2,9.3,2.0,0.33
